Dates,Program,Mission,Artist,Song,Comment,Genre,Style,Year,Discogs Master,Discogs URI
1969-11-16,APOLLO,APOLLO 12,Unidentified,Bugle & Boatswain's Pipe,,,,,,
1969-11-16,APOLLO,APOLLO 12,Unidentified,First Call To Formation (Trumpet),,,,,,
1969-11-16,APOLLO,APOLLO 12,Unidentified,"The Yankee Clipper, Apollo 12 (Chorus)",,,,,,
1969-11-16,APOLLO,APOLLO 12,Unidentified,The Second Time Around (Chorus),,,,,,
1969-11-16,APOLLO,APOLLO 12,Unidentified,"The Yankee Clipper, Apollo 12 (Chorus)",,,,,,
1971-08-02,APOLLO,APOLLO 15,Tijuana Brass,Tijuana Taxi,,Jazz,Easy Listening,1966.0,https://api.discogs.com/masters/556057,https://www.discogs.com/Herb-Alperts-Tijuana-Brass-Tijuana-Taxi/master/556057
1971-08-04,APOLLO,APOLLO 15,Richard Strauss,Also Sprach Zarathustra,Theme from 2001: A Space Odyssey. Spacecraft communicator Karl Henize,,,,,
1971-08-06,APOLLO,APOLLO 15,Unidentified,- Anchors Aweigh,For Jim Irwin,,,,,
1971-08-07,APOLLO,APOLLO 15,Al Kealoha Perry,Hawaiian War Chant,"from the record ""Hawaii Calls""",Rock,Lo-Fi,2013.0,,https://www.discogs.com/Morning-Breath-No-Name-8-No-Name-9/release/4421780
1972-12-09,APOLLO,APOLLO 17,Unidentified,Jayhawk Fight Song,in honor of Ron Evans' alma mater.,,,,,
1972-12-11,APOLLO,APOLLO 17,John Denver,City Of New Orleans,"(Good Morning, America line in song refers to Command Module, America. The wake-up call for landing day was John Denver's version of the Steve Goodman  song, The City of New Orleans, with its chorus of Good morning, America, how are ya? It was a happy song that had been suggested by people on the night shift in the press room - a song that matched the mood of the crew and, indeed, country-music-fan Schmitt requested a replay while he and the others finished waking up.","Folk, World, & Country",Folk,1972.0,https://api.discogs.com/masters/706921,https://www.discogs.com/John-Denver-City-Of-New-Orleans/release/12301259
1972-12-12,APOLLO,APOLLO 17,Wagner,Ride Of The Valkyries,"wake-up to Schmitt on Moon. Jack Schmitt and Gordon Fullerton were both undergraduates at the California Institute of  Technology. At 7:00a.m. it was traditional for students with hi-fi systems to tie them together and wake up everybody in the undergraduate dorms by playing 'The Ride' at full volume...  Bob Parker may have had the duty of choosing this piece. In a February 1992 telephone conversation, Bob said that, if it was he who picked the piece, it was simply because he likes Wagner and can think of few things more stirring than the Ride. He also says that, in the Apollo era, the wake-up music was usually picked the night before and that they sometimes had trouble finding a recording in time. From Apollo Lunar Surface Journal",Classical,Romantic,1980.0,,https://www.discogs.com/Wagner-Ride-Of-The-Valkyries/release/1031370
1972-12-13,APOLLO,APOLLO 17,Unidentified,Texas A&M War Hymn,"to lunar crew. Honors Flight Director's Gerry Griffin's alma mater, Texas A & M.",Brass & Military,,,,https://www.discogs.com/Bill-Moffit-Texas-AM-Aggie-War-Hymn/release/14493590
1972-12-14,APOLLO,APOLLO 17,Richard Strauss,Also Sprach Zarathustra,Theme From 2001: A Space Odyssey/ Played to the lunar crew,,,,,
1972-12-15,APOLLO,APOLLO 17,Roberta Flack,The First Time Ever I Saw Your Face,to lunar crew. Presumably refers to face of the Moon below. Chosen by Neil Hutchinson.,Funk / Soul,Soul,,https://api.discogs.com/masters/409844,https://www.discogs.com/Roberta-Flack-The-First-Time-Ever-I-Saw-Your-Face/release/4059989
1972-12-16,APOLLO,APOLLO 17,The Doors,Light My Fire,Same day that crew ignites SPS and leaves lunar orbit.,Rock,Psychedelic Rock,1991.0,https://api.discogs.com/masters/453021,https://www.discogs.com/The-Doors-Light-My-Fire/master/453021
1972-12-17,APOLLO,APOLLO 17,Jerry Vale,Home For The Holidays,,,,,,
1972-12-18,APOLLO,APOLLO 17,The Carpenters,We'Ve Only Just Begun,...played in the belief that the end of Apollo is not end of humanity's lunar adventure. From ALSJ.,,,,,
1972-12-18,APOLLO,APOLLO 17,Ron Evans' neighbors,Christmas Carol,From MC,,,,,
1972-12-19,APOLLO,APOLLO 17,Unidentified,Anchors Aweigh,,,,,,
1972-12-19,APOLLO,APOLLO 17,Unidentified,The Star Spangled Banner,,Pop,Vocal,1968.0,https://api.discogs.com/masters/591051,https://www.discogs.com/Jose-Feliciano-The-Star-Spangled-Banner/release/4339151
1972-12-19,APOLLO,APOLLO 17,Unidentified,Anchors Aweigh,Played a second time.,,,,,
1973-06-21,SKYLAB,SKYLAB 2,Herb Alpert & Tijuana Brass,Boatswain's Call,"The boatswain's pipe was directed to Pete Conrad by Paul Hand, probably because Conrad was Navy. You should have started doing that on about day 2, Conrad quipped. And the crew down here couldn't find a song for three bulls, it was only one, replied CAPCOM. Conrad countered with, Here's a little old song, love. And then PAO filled in the background: That last song coming down from Skylab was out of Pete Conrad's repertoire of country-western music he has aboard. From Mission Commentary SL-II MC-1305/2. Time: 05:31 CDT, 28:10:31 GMT",,,,,
1973-06-21,SKYLAB,SKYLAB 2,Herb Alpert & Tijuana Brass,The Lonely Bull,Ibid.,Jazz,Easy Listening,1962.0,https://api.discogs.com/masters/432788,https://www.discogs.com/Herb-Alpert-The-Tijuana-Brass-The-Lonely-Bull/master/432788
1973-08-21,SKYLAB,SKYLAB 3,Unidentified,Girl From Ipanema,,,,,,
1973-08-21,SKYLAB,SKYLAB 3,Unidentified,Anchors Aweigh,,,,,,
1973-08-22,SKYLAB,SKYLAB 3,Julie London,The Party's Over,,,,,,
1973-08-23,SKYLAB,SKYLAB 3,Unidentified,Army Air Corps Song,,Brass & Military,,,,https://www.discogs.com/Winged-Victory-Chorus-And-Orchestra-Whiffenpoof-Song-The-Army-Air-Corps/release/13805304
1973-08-24,SKYLAB,SKYLAB 3,Unidentified,Come Fly With Me,,,,,,https://www.discogs.com/label/784508-Come-Fly-With-Me
1973-08-25,SKYLAB,SKYLAB 3,Unidentified,Selections From Julie London And Tijuana Brass,,,,,,
1973-08-27,SKYLAB,SKYLAB 3,Chuck Morley of Cocoa Beach,My Skylab Home,"written and performed by Chuck Morley of Cocoa Beach, Florida courtesy of Bill Cummings of Titusville radio station WRMF",,,,,
1973-09-15,SKYLAB,SKYLAB 3,Legendary Stardust Cowboy,Paralyzed,Sounded like Marine Close Order Drill to Owen Garriott,Rock,Country Rock,1985.0,https://api.discogs.com/masters/520739,https://www.discogs.com/The-Legendary-Stardust-Cowboy-Paralyzed/release/13559756
1973-09-17,SKYLAB,SKYLAB 3,Unidentified,Come Saturday Morning,"Message from Mother Earth (the alter ego of Bob Crippen) followed by the instrumental, Come Saturday Morning",Pop,,1970.0,https://api.discogs.com/masters/973113,https://www.discogs.com/The-Sandpipers-Come-Saturday-Morning/master/973113
1973-09-18,SKYLAB,SKYLAB 3,Glenn Miller,String Of Pearls,,Jazz,Swing,1984.0,https://api.discogs.com/masters/870286,https://www.discogs.com/Glenn-Miller-String-Of-Pearls/release/4768869
